         891           4           3
Mon Jul 11 16:08:31 2005
classA_77_86.fits
    lambda (um)    Flux (Jy)   Sigma (Jy)    AOT ident.
      8.34791    0.0935970     0.345742      0.00000
      8.35052    0.0911776     0.261716      0.00000
      8.35313    0.0931717     0.288429      0.00000
      8.35574    0.0977572     0.388769      0.00000
      8.35835    0.0945637     0.367707      0.00000
      8.36097    0.0931759     0.279547      0.00000
      8.36358    0.0894187     0.165523      0.00000
      8.36619    0.0914639     0.236075      0.00000
      8.36881    0.0945333     0.287022      0.00000
      8.37142     0.100600     0.374925      0.00000
      8.37404    0.0960018     0.358267      0.00000
      8.37666    0.0809935     0.255496      0.00000
      8.37928    0.0673939     0.300422      0.00000
      8.38190    0.0682504     0.358787      0.00000
      8.38451    0.0796348     0.321555      0.00000
      8.38714    0.0887148     0.222434      0.00000
      8.38976    0.0965324     0.246237      0.00000
      8.39238     0.102584     0.290327      0.00000
      8.39500     0.107937     0.259125      0.00000
      8.39763     0.104740     0.384684      0.00000
      8.40025    0.0875084     0.453490      0.00000
      8.40288    0.0802395     0.354834      0.00000
      8.40550    0.0825533     0.290615      0.00000
      8.40813    0.0896124     0.244740      0.00000
      8.41076    0.0853636     0.432229      0.00000
      8.41339    0.0786609     0.426510      0.00000
      8.41602    0.0869074     0.202429      0.00000
      8.41865     0.100174     0.254693      0.00000
      8.42128     0.105465     0.606684      0.00000
      8.42391     0.100232     0.644413      0.00000
      8.42654     0.100953     0.340576      0.00000
      8.42918     0.104028     0.406491      0.00000
      8.43181     0.106465     0.502555      0.00000
      8.43445     0.101122     0.402343      0.00000
      8.43708     0.101099     0.389471      0.00000
      8.43972     0.114042     0.413384      0.00000
      8.44236     0.117828     0.432903      0.00000
      8.44500     0.132001     0.366874      0.00000
      8.44764     0.151665     0.337392      0.00000
      8.45028     0.178786     0.397931      0.00000
      8.45292     0.191017     0.427687      0.00000
      8.45556     0.188070     0.480852      0.00000
      8.45820     0.187626     0.467822      0.00000
      8.46084     0.182502     0.458945      0.00000
      8.46349     0.171573     0.387785      0.00000
      8.46614     0.170777     0.232827      0.00000
      8.46878     0.175043     0.299559      0.00000
      8.47143     0.173659     0.397468      0.00000
      8.47408     0.174528     0.386534      0.00000
      8.47672     0.185713     0.450728      0.00000
      8.47937     0.197851     0.513144      0.00000
      8.48202     0.202306     0.482856      0.00000
      8.48467     0.199338     0.284130      0.00000
      8.48733     0.209064     0.257544      0.00000
      8.48998     0.218293     0.308310      0.00000
      8.49263     0.227190     0.380940      0.00000
      8.49529     0.227989     0.382463      0.00000
      8.49794     0.222849     0.469364      0.00000
      8.50060     0.224540     0.440318      0.00000
      8.50325     0.240958     0.443747      0.00000
      8.50591     0.261022     0.385323      0.00000
      8.50857     0.268505     0.353337      0.00000
      8.51123     0.272260     0.432653      0.00000
      8.51389     0.279586     0.423501      0.00000
      8.51655     0.301587     0.461423      0.00000
      8.51921     0.311868     0.457061      0.00000
      8.52188     0.314782     0.440457      0.00000
      8.52454     0.308457     0.538821      0.00000
      8.52720     0.301102     0.564971      0.00000
      8.52987     0.300739     0.459594      0.00000
      8.53254     0.302779     0.437534      0.00000
      8.53520     0.314439     0.356376      0.00000
